Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Cloud Run,152E-C115-5142,Services Min Instance Memory (Request-based billing),740D-08F2-7A11,"81,763,439.15",gibibyte second,204.41,0,-0.84,203.569541,203.57,15%
Cloud Run,152E-C115-5142,Services Min Instance CPU (Request-based billing),7EBB-8579-2C98,"62,581,246.79",second,156.45,0,-3.11,153.339309,153.34,14%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - vCPU in Dammam,B1BB-5FBC-60FE,"1,108",hour,146.48,0,0,146.4776,146.48,-4%
Vertex AI,C7E2-9256-1C43,Vertex AI: Online/Batch Prediction N1 Predefined Instance Core running in Americas for AI Platform,84D9-B3FA-0886,"3,675.70",hour,132.33,0,0,132.32535,132.33,-50%
App Engine,F17B-412E-CB64,Flex Instance Core Hours,CF04-16EA-81CF,"2,220.64",hour,116.81,0,0,116.80555,116.81,-4%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - RAM in Dammam,0D42-A42C-A0BB,"4,432",gibibyte hour,99.28,0,0,99.2768,99.28,-4%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Dammam,FD9B-C1DF-0EFF,330.474,gibibyte month,89.89,0,0,89.888542,89.89,7%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions Min-Instance Memory (Request-based billing) in us-central1,4D7F-F6C9-CC43,"33,764,447.53",gibibyte second,84.41,0,-0.87,83.536057,83.54,-4%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Dammam,F892-6AA0-B93C,"1,665.74",hour,84.25,0,-4.28,79.966112,79.97,41%
Vertex AI,C7E2-9256-1C43,Vertex AI: Online/Batch Prediction N1 Predefined Instance Ram running in Americas for AI Platform,A909-7508-BAB3,"13,776.29",gibibyte hour,68.88,0,0,68.880955,68.88,-50%
Cloud Workstations,4528-FDD0-A2A0,Cloud Workstations control plane fee (us-central1),61C4-0757-3151,277.598,hour,55.52,0,0,55.519552,55.52,-4%
Notebooks,D73B-5EEA-8215,Workbench Instances Storage for GCE usage - Balanced Persistent Disk in us-central1,47F7-F871-93E3,413.093,gibibyte month,49.57,0,0,49.570344,49.57,7%
Compute Engine,6F81-5844-456A,N2 Instance Ram running in Dammam,1CE2-252E-D1EA,"6,662.95",gibibyte hour,45.17,0,-2.3,42.86527,42.87,41%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions Min-Instance CPU (Request-based billing) in us-central1,BE64-07F9-2DB8,"18,127,149.73",second,45.32,0,-3.86,41.461573,41.46,-11%
Cloud Spanner,CC63-0873-48FD,Read-Write Replica for Enterprise Edition in Netherlands (europe-west4),B8CF-12C2-379E,83.569,hour,39.4,0,0,39.402505,39.4,-3%
Cloud Run,152E-C115-5142,Services CPU (Instance-based billing) in us-central1,011E-3072-CBDB,"2,023,324.02",second,36.42,0,-0.72,35.698882,35.7,-4%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - vCPU in Americas,741F-D668-2417,831,hour,34.32,0,0,34.3203,34.32,-4%
App Engine,F17B-412E-CB64,Flex Instance RAM,368C-DD8A-8532,"4,580.07",gibibyte hour,32.52,0,0,32.518373,32.52,-4%
Compute Engine,6F81-5844-456A,Balanced PD Capacity in Dammam,2355-97B9-3C07,185.915,gibibyte month,29.75,0,0,29.745936,29.75,7%
Kubernetes Engine,CCD8-9BF1-090E,Regional Kubernetes Clusters,B561-BFBD-1264,277.598,hour,27.76,0,0,27.759719,27.76,-4%
Integration Connectors,6FFB-B71E-5A0F,Connection nodes to Google managed applications,4AB5-4E41-8DAB,555.301,hour,24.09,0,0,24.094251,24.09,-87%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - RAM in Americas,49E9-5D00-B807,"3,254.75",gibibyte hour,22.78,0,0,22.78325,22.78,-4%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - Standard storage in Americas,F0A1-2B08-FA36,107.173,gibibyte month,18.22,0,0,18.219121,18.22,6%
Compute Engine,6F81-5844-456A,Regional Balanced PD Capacity,0FE3-CAB9-E7E3,82.619,gibibyte month,16.52,0,0,16.523458,16.52,7%
Gemini API,AEFD-7695-64FA,Generate_content text input token count for gemini 3 pro short,FB70-0CFB-9533,"6,364,765",count,12.73,0,0,12.72953,12.73,57%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Standard storage in Dammam,38F0-2ABC-C814,20.61,gibibyte month,11.21,0,0,11.211852,11.21,6%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Dammam (me-central2),BA4C-C8F2-3F65,276.627,hour,11.06,0,0,11.064964,11.06,-4%
Gemini API,AEFD-7695-64FA,Generate_content text cached input token count for gemini 3 pro short,4D6D-3A29-44D7,"37,794,074",count,7.56,0,0,7.558791,7.56,6%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,277.598,hour,6.94,0,0,6.939836,6.94,-4%
Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,555.197,hour,5.55,0,0,5.550634,5.55,-4%
Gemini API,AEFD-7695-64FA,Generate_content text output token count for gemini 3 pro short,530B-F4DF-9814,"344,010",count,4.13,0,0,4.12812,4.13,74%
Networking,E505-1604-58F8,Networking Cloud Armor Rule,A321-89BD-F5BC,3.718,month,3.72,0,0,3.717582,3.72,7%
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,33.385,gibibyte month,3.32,0,0,3.318997,3.32,19%
Cloud Monitoring,58CD-E7C3-72CA,Prometheus Samples Ingested,A4E4-DF03-CDB6,"47,095,432",count,2.83,0,0,2.82571,2.83,-6%
Networking,E505-1604-58F8,Networking Private Service Connect Consumer End Point,9E4E-F9A7-5EAE,277.598,hour,2.78,0,0,2.775869,2.78,-3%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Output (Thinking On) - Predictions,A253-E8A3-DE5C,"1,109,212",count,2.77,0,0,2.772972,2.77,-22%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,854.946,hour,2.77,0,0,2.772609,2.77,-36%
Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,"101,351.58",second,2.43,0,0,2.430693,2.43,-32%
Cloud Run,152E-C115-5142,Services Memory (Instance-based billing) in us-central1,F6D2-B591-E54F,"1,040,973.42",gibibyte second,2.08,0,-0.01,2.073773,2.07,0%
Networking,E505-1604-58F8,Networking Cloud Armor Policy,4B13-E64F-4A2B,0.413,month,2.07,0,0,2.065253,2.07,7%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Thinking Text Output - Predictions,CD33-11F4-1220,"822,264",count,2.06,0,0,2.055605,2.06,0%
Vertex AI,C7E2-9256-1C43,AI Pipeline job: Managed Pipeline job count,2B84-9CF1-241F,68,count,2.04,0,0,2.04,2.04,656%
Gemini API,AEFD-7695-64FA,Generate_content text cached input token count for gemini 3 pro long,7429-5179-B41C,"4,902,572",count,1.96,0,0,1.961027,1.96,-66%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Thinking Text Output - Predictions,E367-697F-F274,"185,069",count,1.85,0,0,1.85069,1.85,-37%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Input - Predictions,FDAB-647C-5A22,"5,546,710",count,1.66,0,0,1.663918,1.66,-49%
Gemini API,AEFD-7695-64FA,Generate_content text input token count for gemini 3 pro long,39DE-E38D-5830,"391,081",count,1.56,0,0,1.564324,1.56,-82%
Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,24.765,month,1.4,0,0,1.401311,1.4,2%
BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,124.038,gibibyte month,1.16,0,0,1.16197,1.16,-5%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Dammam,96DE-B911-9FF7,34.913,gibibyte month,1.05,0,0,1.047387,1.05,2%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Output - Predictions,2737-2D33-D986,"74,576",count,0.89,0,0,0.894912,0.89,-60%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Text Input - Predictions,A121-E2B5-1418,"661,532",count,0.83,0,0,0.826867,0.83,-69%
Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,17.392,gibibyte month,0.69,0,0,0.694442,0.69,360%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Input - Predictions,EAC4-305F-1249,"336,478",count,0.67,0,0,0.672956,0.67,-86%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Text Output - Predictions,5DA2-3F77-1CA5,"53,962",count,0.54,0,0,0.53962,0.54,-52%
Vertex AI,C7E2-9256-1C43,Vertex AI: Training/Pipelines on E2 Instance Core running in Americas,43AB-6AAF-9567,16.072,hour,0.4,0,0,0.403112,0.4,3900%
Gemini API,AEFD-7695-64FA,Generate_content text input token count for gemini 3 flash,F2C1-F842-5D84,"739,418",count,0.37,0,0,0.369706,0.37,-52%
Cloud Run,152E-C115-5142,"Cloud Run Network Internet Data Transfer Out Intercontinental (Excl Oceania, Africa and China)",DBAA-7594-B9FA,2.734,gibibyte,0.33,0,0,0.327902,0.33,43%
Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,"121,667.95",gibibyte second,0.3,0,0,0.303963,0.3,-35%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Input Text Caching,A1C1-77CC-6FAE,"10,109,265",count,0.3,0,0,0.303203,0.3,15%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Input - Predictions,1127-99B9-1860,"1,615,379",count,0.24,0,0,0.242271,0.24,-54%
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,2.277,gibibyte month,0.23,0,0,0.227647,0.23,New
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,8.583,gibibyte month,0.22,0,0,0.223112,0.22,0%
Vertex AI,C7E2-9256-1C43,Vertex AI: Training/Pipelines on E2 Instance Ram running in Americas,6C2C-EA74-7AF9,64.289,gibibyte hour,0.22,0,0,0.216114,0.22,2100%
Gemini API,AEFD-7695-64FA,Generate content output token count gemini 2.5 flash short input text,911A-8880-A243,"81,840",count,0.2,0,0,0.204598,0.2,25%
Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Iowa,6DAE-2158-F5F5,"2,000.03",hour,0.18,0,0,0.178,0.18,
Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,0.83,month,0.17,0,0,0.165946,0.17,13%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Input Caching,8308-9CED-8950,"822,112",count,0.16,0,0,0.164419,0.16,-94%
Gemini API,AEFD-7695-64FA,Generate_content cached text input token count for gemini 3 flash,07D6-73CA-C859,"2,625,827",count,0.13,0,0,0.131288,0.13,-80%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,5.779,hour,0.13,0,0,0.126029,0.13,New
Vertex AI,C7E2-9256-1C43,Vertex AI: Training/Pipelines on SSD backed PD Capacity,A005-98FE-36CC,0.598,gibibyte month,0.12,0,0,0.116864,0.12,
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Image Input - Predictions,7C13-537E-1E75,"368,969",count,0.11,0,0,0.110639,0.11,
Gemini API,AEFD-7695-64FA,Generate_content text output token count for gemini 3 pro long,1122-2EB0-607B,"5,714",count,0.1,0,0,0.102852,0.1,-68%
Vertex AI,C7E2-9256-1C43,ML Monitoring model analysis data volume,3825-0A0E-A295,0.029,gibibyte,0.1,0,0,0.101541,0.1,New
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,3.826,gibibyte month,0.07,0,0,0.073494,0.07,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Input - Predictions,F91E-007E-3BA1,"727,913",count,0.07,0,0,0.072762,0.07,-22%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,23.12,gibibyte hour,0.07,0,0,0.067574,0.07,New
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Output - Predictions,DFB0-8442-43A8,"106,173",count,0.06,0,0,0.063674,0.06,-45%
Gemini API,AEFD-7695-64FA,Generate_content text output token count for gemini 3 flash,ACA6-865B-F153,"20,806",count,0.06,0,0,0.062418,0.06,-33%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to EMEA,18DD-C13C-3708,0.269,gibibyte,0.05,0,0,0.050978,0.05,0%
Vertex AI,C7E2-9256-1C43,sessions events appended in global,0D5A-FCD2-CB63,180,count,0.04,0,0,0.045,0.04,New
Gemini API,AEFD-7695-64FA,Generate content input token count gemini 2.5 flash short input text,981A-C057-0BF9,"118,164",count,0.04,0,0,0.035446,0.04,-60%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,"3,130",count,0.03,0,0,0.0313,0.03,200%
Compute Engine,6F81-5844-456A,Storage PD Snapshot in European Union,9ECE-16D9-A2B4,0.396,gibibyte month,0.03,0,0,0.029415,0.03,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Input Text Caching,E941-1B12-88B9,"201,986",count,0.03,0,0,0.025235,0.03,-89%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions CPU (Request-based billing) in us-central1,AD70-830E-0384,"1,014.98",second,0.02,0,0,0.024341,0.02,0%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Northern America,3C8A-99C5-F47B,1.033,gibibyte,0.02,0,0,0.020653,0.02,
Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,0.262,gibibyte month,0.02,0,0,0.020602,0.02,0%
Compute Engine,6F81-5844-456A,Multi-regional Snapshot upload within North America,D634-7DAF-EDA1,0.993,gibibyte,0.02,0,0,0.019854,0.02,New
Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input - Predictions,7EBE-3B46-F75C,"36,214",count,0.02,0,0,0.018107,0.02,-99%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Input Image Caching,DABD-C0C3-D87E,"603,691",count,0.02,0,0,0.018068,0.02,New
Vertex AI,C7E2-9256-1C43,Metadata storage,AEEB-1CC1-1A3A,0.002,gibibyte month,0.02,0,0,0.017803,0.02,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Image Input - Predictions,B401-3774-BCEE,"11,448",count,0.01,0,0,0.014307,0.01,-93%
Compute Engine,6F81-5844-456A,Storage PD Snapshot in US,34CF-7D88-5D40,0.191,gibibyte month,0.01,0,0,0.012372,0.01,New
BigQuery,24E6-581D-38E5,Streaming Insert (us-central1),E141-B443-33EE,234.451,mebibyte,0.01,0,0,0.011583,0.01,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Output - Predictions,2D6E-6AC5-B1FD,"28,219",count,0.01,0,0,0.011265,0.01,0%
Vertex AI,C7E2-9256-1C43,Embeddings for Text - Predictions,E7B1-197A-4394,"437,716",count,0.01,0,0,0.010907,0.01,
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Northern America,AED0-3315-7B11,0.515,gibibyte,0.01,0,0,0.010278,0.01,
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to Americas,33A7-253C-4BBA,0.045,gibibyte,0.01,0,0,0.008302,0.01,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to Apac(Excluding Korea and Indonesia),61A2-2355-EC19,0.055,gibibyte,0.01,0,0,0.008108,0.01,0%
BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,0.305,gibibyte month,0.01,0,0,0.005886,0.01,0%
Networking,E505-1604-58F8,Networking Cloud Armor Requests,1A87-DEB9-C4BE,"8,027",count,0.01,0,0,0.005463,0.01,
BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,0.001,tebibyte,0.01,0,0,0.005366,0.01,
Gemini API,AEFD-7695-64FA,Generate content output token count gemini 2.5 flash lite short output text,657C-B57A-6A95,"13,351",count,0.01,0,0,0.005335,0.01,0%
Gemini API,AEFD-7695-64FA,Generate content input token count gemini 2.5 flash lite short input text,399C-32AD-1412,"51,817",count,0.01,0,0,0.005169,0.01,-50%
Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Output - Predictions,0127-F0B7-365E,"1,545",count,0,0,0,0.004635,0,-100%
Cloud Run,152E-C115-5142,Jobs CPU in us-central1,257B-2A84-3396,240,second,0,0,0,0.004319,0,0%
Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,0.342,gibibyte,0,0,0,0.003291,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to Middle East,04FC-2F11-EF1C,0.015,gibibyte,0,0,0,0.002779,0,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions Memory (Request-based billing) in us-central1,769A-FA0B-B049,"1,114.61",gibibyte second,0,0,0,0.002765,0,0%
